Date : 2025-07-31 17:25:34
Directory : /home/william/Scality/arsenal/lib
Total : 236 files,  35970 codes, 11380 comments, 3651 blanks, all 51001 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        153 |     23,521 |      9,152 |      2,533 |     35,206 |
| JavaScript         |         69 |      8,921 |      2,210 |        891 |     12,022 |
| JSON               |          6 |      2,611 |          0 |          5 |      2,616 |
| Markdown           |          7 |        776 |          0 |        221 |        997 |
| JSON with Comments |          1 |        141 |         18 |          1 |        160 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/william/Scality/arsenal/lib/policyEvaluator/principal.ts                             | TypeScript         |        136 |         33 |          6 |        175 |
| /home/william/Scality/arsenal/lib/policyEvaluator/requestUtils.ts                          | TypeScript         |         51 |         25 |          5 |         81 |
| /home/william/Scality/arsenal/lib/policyEvaluator/utils/actionMaps.ts                      | TypeScript         |        233 |          7 |         13 |        253 |
| /home/william/Scality/arsenal/lib/policyEvaluator/utils/checkArnMatch.ts                   | TypeScript         |         30 |         22 |          1 |         53 |
| /home/william/Scality/arsenal/lib/policyEvaluator/utils/conditions.ts                      | TypeScript         |        281 |        149 |          8 |        438 |
| /home/william/Scality/arsenal/lib/policyEvaluator/utils/objectTags.ts                      | TypeScript         |         13 |         14 |          2 |         29 |
| /home/william/Scality/arsenal/lib/policyEvaluator/utils/variables.ts                       | TypeScript         |         46 |         54 |          6 |        106 |
| /home/william/Scality/arsenal/lib/policyEvaluator/utils/wildcards.ts                       | TypeScript         |         21 |         28 |          7 |         56 |
| /home/william/Scality/arsenal/lib/s3middleware/MD5Sum.ts                                   | TypeScript         |         28 |         16 |          5 |         49 |
| /home/william/Scality/arsenal/lib/s3middleware/azureHelpers/ResultsCollector.ts            | TypeScript         |         33 |         40 |          8 |         81 |
| /home/william/Scality/arsenal/lib/s3middleware/azureHelpers/SubStreamInterface.ts          | TypeScript         |         81 |         49 |         16 |        146 |
| /home/william/Scality/arsenal/lib/s3middleware/azureHelpers/mpuUtils.ts                    | TypeScript         |        254 |         14 |         20 |        288 |
| /home/william/Scality/arsenal/lib/s3middleware/convertToXml.ts                             | TypeScript         |        147 |          2 |         16 |        165 |
| /home/william/Scality/arsenal/lib/s3middleware/escapeForXml.ts                             | TypeScript         |         12 |          4 |          2 |         18 |
| /home/william/Scality/arsenal/lib/s3middleware/lifecycleHelpers/LifecycleDateTime.ts       | TypeScript         |         55 |         22 |          8 |         85 |
| /home/william/Scality/arsenal/lib/s3middleware/lifecycleHelpers/LifecycleUtils.ts          | TypeScript         |        260 |         78 |         23 |        361 |
| /home/william/Scality/arsenal/lib/s3middleware/lifecycleHelpers/index.ts                   | TypeScript         |          2 |          0 |          1 |          3 |
| /home/william/Scality/arsenal/lib/s3middleware/nullStream.ts                               | TypeScript         |         20 |         13 |          3 |         36 |
| /home/william/Scality/arsenal/lib/s3middleware/objectLegalHold.ts                          | TypeScript         |         79 |         28 |          6 |        113 |
| /home/william/Scality/arsenal/lib/s3middleware/objectRestore.ts                            | TypeScript         |         78 |         28 |          5 |        111 |
| /home/william/Scality/arsenal/lib/s3middleware/objectRetention.ts                          | TypeScript         |        102 |         37 |          7 |        146 |
| /home/william/Scality/arsenal/lib/s3middleware/objectUtils.ts                              | TypeScript         |          9 |          7 |          6 |         22 |
| /home/william/Scality/arsenal/lib/s3middleware/prepareStream.ts                            | TypeScript         |         18 |         11 |          2 |         31 |
| /home/william/Scality/arsenal/lib/s3middleware/processMpuParts.ts                          | TypeScript         |        145 |         76 |         18 |        239 |
| /home/william/Scality/arsenal/lib/s3middleware/tagging.ts                                  | TypeScript         |        197 |         52 |         21 |        270 |
| /home/william/Scality/arsenal/lib/s3middleware/userMetadata.ts                             | TypeScript         |         16 |          5 |          2 |         23 |
| /home/william/Scality/arsenal/lib/s3middleware/validateConditionalHeaders.ts               | TypeScript         |        118 |         21 |         11 |        150 |
| /home/william/Scality/arsenal/lib/s3routes/index.ts                                        | TypeScript         |          2 |          0 |          1 |          3 |
| /home/william/Scality/arsenal/lib/s3routes/routes.ts                                       | TypeScript         |        237 |         45 |         27 |        309 |
| /home/william/Scality/arsenal/lib/s3routes/routes/routeDELETE.ts                           | TypeScript         |         63 |          5 |          4 |         72 |
| /home/william/Scality/arsenal/lib/s3routes/routes/routeGET.ts                              | TypeScript         |         86 |          7 |          6 |         99 |
| /home/william/Scality/arsenal/lib/s3routes/routes/routeHEAD.ts                             | TypeScript         |         34 |          2 |          3 |         39 |
